"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2"
"125","44",18,6,0.00748118028384907,0.00264731804991357,1,32.7,1,1,2406.03745893676,2266.44471380985,4672.48217274661,0.514937750425365,1,"FV1 vs FV2"
"130","44",6,3,0.00748118028384907,0.00264731804991357,1,32.7,1,1,802.012486312253,1133.22235690492,1935.23484321718,0.414426439831442,1,"FV1 vs FV2"
"135","44",0,1,0.00748118028384907,0.00264731804991357,1,32.7,1,1,0,377.740785634975,377.740785634975,0,1,"FV1 vs FV2"
"95","53",0,2,0.00741837803428211,0.00222666399553865,2,33.5,1,1,0,898.204670308231,898.204670308231,0,1,"FV1 vs FV2"
"100","53",1,1,0.00741837803428211,0.00222666399553865,2,33.5,1,1,134.800356004879,449.102335154115,583.902691158994,0.23086099455598,1,"FV1 vs FV2"
"120","53",2,0,0.00741837803428211,0.00222666399553865,2,33.5,1,1,269.600712009757,0,269.600712009757,1,1,"FV1 vs FV2"
"125","53",1,0,0.00741837803428211,0.00222666399553865,2,33.5,1,1,134.800356004879,0,134.800356004879,1,1,"FV1 vs FV2"
"130","53",6,1,0.00741837803428211,0.00222666399553865,2,33.5,1,1,808.802136029272,449.102335154115,1257.90447118339,0.642975801865449,1,"FV1 vs FV2"
"135","53",3,0,0.00741837803428211,0.00222666399553865,2,33.5,1,1,404.401068014636,0,404.401068014636,1,1,"FV1 vs FV2"
"140","53",2,0,0.00741837803428211,0.00222666399553865,2,33.5,1,1,269.600712009757,0,269.600712009757,1,1,"FV1 vs FV2"
"90","23",1,0,0.00745501471667135,0.00501663478473594,2,40,1,1,134.137897509946,0,134.137897509946,1,1,"FV1 vs FV2"
"95","23",5,1,0.00745501471667135,0.00501663478473594,2,40,1,1,670.68948754973,199.336814998511,870.02630254824,0.770884150956508,1,"FV1 vs FV2"
"100","23",20,9,0.00745501471667135,0.00501663478473594,2,40,1,1,2682.75795019892,1794.03133498659,4476.78928518551,0.599259375257316,1,"FV1 vs FV2"
"105","23",7,5,0.00745501471667135,0.00501663478473594,2,40,1,1,938.965282569621,996.684074992552,1935.64935756217,0.485090586733223,1,"FV1 vs FV2"
"110","23",8,5,0.00745501471667135,0.00501663478473594,2,40,1,1,1073.10318007957,996.684074992552,2069.78725507212,0.518460618331605,1,"FV1 vs FV2"
"115","23",16,14,0.00745501471667135,0.00501663478473594,2,40,1,1,2146.20636015913,2790.71540997915,4936.92177013828,0.43472561650476,1,"FV1 vs FV2"
"120","23",12,8,0.00745501471667135,0.00501663478473594,2,40,1,1,1609.65477011935,1594.69451998808,3204.34929010744,0.502334366321651,1,"FV1 vs FV2"
"125","23",8,8,0.00745501471667135,0.00501663478473594,2,40,1,1,1073.10318007957,1594.69451998808,2667.79770006765,0.402243086142684,1,"FV1 vs FV2"
"130","23",1,6,0.00745501471667135,0.00501663478473594,2,40,1,1,134.137897509946,1196.02088999106,1330.15878750101,0.100843522420322,1,"FV1 vs FV2"
"90","S55",1,1,0.00819893383259883,0.00279029296116131,2,44.5,1,1,121.96707772223,358.385307177137,480.352384899367,0.253911673089292,1,"FV1 vs FV2"
"95","S55",3,4,0.00819893383259883,0.00279029296116131,2,44.5,1,1,365.901233166689,1433.54122870855,1799.44246187524,0.203341446541934,1,"FV1 vs FV2"
"100","S55",3,11,0.00819893383259883,0.00279029296116131,2,44.5,1,1,365.901233166689,3942.23837894851,4308.1396121152,0.084932538429747,1,"FV1 vs FV2"
"105","S55",6,4,0.00819893383259883,0.00279029296116131,2,44.5,1,1,731.802466333378,1433.54122870855,2165.34369504193,0.33796134443184,1,"FV1 vs FV2"
