"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2","cpuetotalN","sl","septh","res"
140,"S30",13,11,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2513.05994237916,4907.2421225886,7420.30206496776,0.338673536518635,1,"FV1 vs FV2",742.030206496776,1.44603787027141,1.21277675048375,5.91684360973681
145,"S30",2,8,0.00517297649004451,0.00224158493206719,1,46.5,1,1,386.624606519871,3568.90336188262,3955.52796840249,0.0977428574916678,1,"FV1 vs FV2",395.552796840249,1.72384089893831,1.21277675048375,-5.28460151915405
150,"S30",0,2,0.00517297649004451,0.00224158493206719,1,46.5,1,1,0,892.225840470654,892.225840470654,0,1,"FV1 vs FV2",89.2225840470654,2.00164392760521,1.21277675048375,-5.32827446986049
90,"S33",1,0,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,719.556040783035,0,719.556040783035,1,1.5,"FV1 vs FV2",71.9556040783035,-1.33199241639762,0.0590979651739455,9.89943063946938
95,"S33",1,1,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,719.556040783035,799.842868702382,1519.39890948542,0.473579411101941,1.5,"FV1 vs FV2",151.939890948542,-1.05418938773072,0.0590979651739455,-0.771653202627682
100,"S33",5,4,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,3597.78020391518,3199.37147480953,6797.15167872471,0.529307035353697,1.5,"FV1 vs FV2",679.715167872471,-0.776386359063818,0.0590979651739455,1.32887593857882
105,"S33",2,3,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,1439.11208156607,2399.52860610715,3838.64068767322,0.374901481711325,1.5,"FV1 vs FV2",383.864068767322,-0.498583330396915,0.0590979651739455,-4.98418144341128
110,"S33",14,9,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,10073.7845709625,7198.58581832144,17272.3703892839,0.583231157271409,1.5,"FV1 vs FV2",1727.23703892839,-0.220780301730012,0.0590979651739455,7.25479839774072
115,"S33",9,10,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,6476.00436704732,7998.42868702382,14474.4330540711,0.447409880777738,1.5,"FV1 vs FV2",1447.44330540711,0.0570227269368907,0.0590979651739455,-2.96920034348558
120,"S33",15,16,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,10793.3406117455,12797.4858992381,23590.8265109836,0.457522783558273,1.5,"FV1 vs FV2",2359.08265109836,0.334825755603794,0.0590979651739455,-1.27374333779769
125,"S33",25,15,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,17988.9010195759,11997.6430305357,29986.5440501116,0.599899107730253,1.5,"FV1 vs FV2",2998.65440501116,0.612628784270697,0.0590979651739455,16.7469339982989
130,"S33",11,20,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,7915.11644861339,15996.8573740476,23911.973822661,0.331010585212014,1.5,"FV1 vs FV2",2391.1973822661,0.8904318129376,0.0590979651739455,-8.48859142506372
135,"S33",3,8,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,2158.66812234911,6398.74294961906,8557.41107196816,0.252257149293708,1.5,"FV1 vs FV2",855.741107196816,1.1682348416045,0.0590979651739455,-7.58826916851865
140,"S33",4,3,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,2878.22416313214,2399.52860610715,5277.75276923929,0.545350320293043,1.5,"FV1 vs FV2",527.775276923929,1.44603787027141,0.0590979651739455,10.4661051339941
145,"S33",0,1,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,0,799.842868702382,799.842868702382,0,1.5,"FV1 vs FV2",79.9842868702382,1.72384089893831,0.0590979651739455,-7.03830546728599
90,"44",3,0,0.00748118028384907,0.00264731804991357,1,32.7,1,1,401.006243156127,0,401.006243156127,1,1,"FV1 vs FV2",40.1006243156127,-1.33199241639762,-0.968150268321084,8.50376081507382
95,"44",4,0,0.00748118028384907,0.00264731804991357,1,32.7,1,1,534.674990874835,0,534.674990874835,1,1,"FV1 vs FV2",53.4674990874835,-1.05418938773072,-0.968150268321084,9.83551083079657
100,"44",10,0,0.00748118028384907,0.00264731804991357,1,32.7,1,1,1336.68747718709,0,1336.68747718709,1,1,"FV1 vs FV2",133.668747718709,-0.776386359063818,-0.968150268321084,15.5726746228971
105,"44",15,3,0.00748118028384907,0.00264731804991357,1,32.7,1,1,2005.03121578063,1133.22235690492,3138.25357268556,0.638900321258881,1,"FV1 vs FV2",313.825357268556,-0.498583330396915,-0.968150268321084,8.47586882683655
