"sl","cpuetotalN","Station","day","qratio","prop","lo","mid","hi","Length","comp2","mod","ratio","cr_lo","cr_mid","cr_hi"
-2.99881058839904,1,NA,NA,1,0.503957782934198,0.276483383409194,0.513623907430042,0.970674585056567,60,"FV1 vs FV2","mod2",1.01595744393535,0.372521652496565,1.10938974610002,50.7553411954628
-2.44320453106524,1,NA,NA,1,0.443283016705279,0.304145556340718,0.434649817640211,0.86066480110455,70,"FV1 vs FV2","mod2",0.796244824581917,0.42992832749085,0.783159446076157,7.81002480645259
-2.16540150239833,1,NA,NA,1,0.425910972287818,0.309258277450072,0.414529890541932,0.770622612913989,75,"FV1 vs FV2","mod2",0.74189011064212,0.436659430519387,0.717156239900079,3.91089009463186
-1.88759847373143,1,NA,NA,1,0.414963542687639,0.30657823616556,0.402680282894379,0.677152575163379,80,"FV1 vs FV2","mod2",0.709295185797425,0.440894205991538,0.682561479472188,2.30482869494515
-1.60979544506453,1,NA,NA,1,0.408813690429053,0.305726827337913,0.39810197294915,0.598088154406917,85,"FV1 vs FV2","mod2",0.69151413659384,0.438019468134256,0.668895094153531,1.58625848962675
-1.33199241639762,1,NA,NA,1,0.40589688206244,0.303655942588517,0.395395267150998,0.548827914672963,90,"FV1 vs FV2","mod2",0.683209479646427,0.442111138565561,0.661028094273919,1.23374299371177
-1.05418938773072,1,NA,NA,1,0.404689073214454,0.303747263353842,0.396511023719849,0.520846016320029,95,"FV1 vs FV2","mod2",0.679794465389074,0.438857176815295,0.662877275693868,1.07058503534562
-0.776386359063818,1,NA,NA,1,0.403683645598385,0.311471253317393,0.396061364054442,0.497552480936985,100,"FV1 vs FV2","mod2",0.676962224193012,0.448762462425962,0.660062774312636,0.966942785953055
-0.498583330396915,1,NA,NA,1,0.401381083696441,0.30835634730247,0.396746525603118,0.482084193377024,105,"FV1 vs FV2","mod2",0.670511861160266,0.450751345688128,0.652166331803183,0.911235515926985
-0.220780301730012,1,NA,NA,1,0.396296125861968,0.306114770488827,0.392846441023992,0.470593320875522,110,"FV1 vs FV2","mod2",0.656441250153975,0.437650793302938,0.645378082651752,0.886660874558397
0.0570227269368907,1,NA,NA,1,0.386985956925402,0.29340468799139,0.386736222108938,0.465150741923237,115,"FV1 vs FV2","mod2",0.631283999603757,0.414025835402825,0.622841313082024,0.870491951838437
0.334825755603794,1,NA,NA,1,0.372108705450566,0.277932151924894,0.370809396957946,0.455760398959967,120,"FV1 vs FV2","mod2",0.592632369138969,0.371339067680463,0.585841014206389,0.838166342985918
0.612628784270697,1,NA,NA,1,0.350531927009545,0.245450749706095,0.350401971726423,0.440188416496514,125,"FV1 vs FV2","mod2",0.539721568445285,0.315891672043465,0.538723154597971,0.777135581684556
0.8904318129376,1,NA,NA,1,0.32151960020994,0.206482434709009,0.325799152006197,0.411970628799906,130,"FV1 vs FV2","mod2",0.473881928364366,0.247370417492195,0.48154264954196,0.699450385440576
1.1682348416045,1,NA,NA,1,0.285018684311288,0.151484064199094,0.293839938104916,0.373006392701269,135,"FV1 vs FV2","mod2",0.398637947673838,0.160882952703103,0.412319023587263,0.597161646026128
1.44603787027141,1,NA,NA,1,0.242017417899588,0.101077178611096,0.253137610263902,0.33161063606444,140,"FV1 vs FV2","mod2",0.319291529402885,0.0880102848375358,0.334518015010657,0.50037999107449
1.72384089893831,1,NA,NA,1,0.194837342748581,0.055191280169351,0.202790096694706,0.296392820427009,145,"FV1 vs FV2","mod2",0.241985070959073,0.0446329312588052,0.250657530209205,0.422643204051268
2.00164392760521,1,NA,NA,1,0.14708837518297,0.0256094812315099,0.150398243180169,0.26902553764237,150,"FV1 vs FV2","mod2",0.172454414857488,0.0193114384887756,0.171743672781898,0.369033320014573
2.27944695627211,1,NA,NA,1,0.103019572599547,0.0100661009362034,0.101894399249459,0.257102275112589,155,"FV1 vs FV2","mod2",0.114851527918072,0.00761137267906014,0.111077650811364,0.345166380898941
-2.91257824856017,1,NA,NA,1,0.902364326171997,0.392935406859644,0.886011226378372,0.999967278517013,60,"FV1 vs FV3","mod2",9.24215802270816,0.82421386960423,8.07302056370657,38386.939168726
-2.64098735078447,1,NA,NA,1,0.840587823883267,0.410818402038027,0.823006534459712,0.99968070121879,65,"FV1 vs FV3","mod2",5.27304654111068,0.76761230093147,4.76768195932183,3801.83929360463
-2.36939645300876,1,NA,NA,1,0.769005025871675,0.392930280013034,0.749957001466142,0.997625173332254,70,"FV1 vs FV3","mod2",3.32909851728838,0.693225921181133,3.04110163677545,500.106264676622
-2.09780555523305,1,NA,NA,1,0.697061953104882,0.383853433880946,0.683192166800293,0.987779084655961,75,"FV1 vs FV3","mod2",2.30100497527211,0.623249438829213,2.18826549647329,103.553338473288
-1.82621465745734,1,NA,NA,1,0.632703461573319,0.370784720021982,0.622349670014445,0.956871333854062,80,"FV1 vs FV3","mod2",1.72259576494652,0.586331606397372,1.6833542192259,25.4614692242212
-1.55462375968164,1,NA,NA,1,0.580165143048415,0.362660423972371,0.576115835743436,0.89105889620323,85,"FV1 vs FV3","mod2",1.38188893428475,0.560260461870186,1.38913829122,8.88375384960422
-1.28303286190593,1,NA,NA,1,0.540285945594168,0.354913815376877,0.544443252153527,0.793588372437643,90,"FV1 vs FV3","mod2",1.1752652337168,0.551841399872657,1.17014084331881,4.20227912530642
-1.01144196413022,1,NA,NA,1,0.511810446925728,0.355649521978738,0.517264031716995,0.70204982384067,95,"FV1 vs FV3","mod2",1.04838467702291,0.565097137398129,1.05415199367685,2.43792337036649
